company_industries,job_url,company_name,company_website,company_location,job_roles,keywords,posted_on,job_title
FMCG,https://wuzzuf.net/jobs/p/115309-Assistant-Sales-Manager---Upper-Egypt-Sohag-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=1,Confidential Company,,",Sohag ,Egypt",Sales/Retail,"Sales, FMCG, Sales Planning, Sales Strategies, Sales Management, Sales Skills, Sales Target, Customer Relationship, Sales Mass Market, Traditional Sales, Distribution, Recruitment, Training, Client Relationship","Wednesday, February 21, 2018 at12:24PM",Assistant Sales Manager - Upper Egypt
"Healthcare and Medical Services,Computer Software",https://wuzzuf.net/jobs/p/115419-Senior-Software-Developer---Cairo-Millensys-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=14,Millensys,https://wuzzuf.net/jobs/careers/Millensys-Egypt-17673,"Nasr City ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Microsoft SQL Server, Software Development, ASP.NET, MVC, C#, Net framework, Computer Science, DB, Information Technology (IT), SQL, Software Testing, Architectural Patterns, Programming, jQuery, .NET, Web Development, MS SQL","Wednesday, February 21, 2018 at 4:05PM",Senior Software Developer - Cairo
Computer Software,https://wuzzuf.net/jobs/p/115512-Senior-Software-Developer--NET-RMGS-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=13,RMGS,https://wuzzuf.net/jobs/careers/RMGS-Egypt-1631,",Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Software Development, .NET, C#, ASP.NET, MVC 5, WebAPI 2.0, Bootstrap 3, javaScript, jQuery, Microsoft SQL Server, Angular  JS, SOA, OOP, HTML5, CSS3, Microsoft Visual Studio, J2EE, SDLC, MVVM, MVC, TFS, Computer Science, Information Technology (IT), C#.Net, T-SQL, MySQL, SQL, Web Development, Computer Engineering","Thursday, February 22, 2018 at11:12AM",Senior Software Developer (.NET)
Computer Software,https://wuzzuf.net/jobs/p/115534-Software-Developer-Aria-Systems-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=12,Aria Systems,https://wuzzuf.net/jobs/careers/Aria-Systems-Egypt-8993,"Maadi ,Cairo ,Egypt",IT/Software Development,"Web Development, Web Design, Software Development, Software Engineering, Information Technology (IT), Computer Science, Visual Fox, Pro Language","Thursday, February 22, 2018 at12:44PM",Software Developer
Publishing and Printing,https://wuzzuf.net/jobs/p/115593-Senior-Software-Developer-Document-Engineer-Hindawi-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=11,Hindawi,https://wuzzuf.net/jobs/careers/Hindawi-Egypt-4704,"Nasr City ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Information Technology (IT), Software Engineering, Computer Science, OOP, Linq, XML, SQL Server, ADO.Net, XSLT, Software Development, .Net C# Framework","Thursday, February 22, 2018 at 3:24PM",Senior Software Developer (Document Engineer)
"Information Technology Services,Computer Software",https://wuzzuf.net/jobs/p/114728-Senior-Software-Developer---Alexandria-Tanmya-Alexandria-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=9,Tanmya,https://wuzzuf.net/jobs/careers/Tanmya-Egypt-31165,",Alexandria ,Egypt",IT/Software Development,"ASP.NET, SQL, C#, .NET, Ajax, JQuery, javaScript, CSS, Web Development, Software Development, Software Engineering, Information Technology (IT), Computer Science, Object-Oriented","Thursday, February 22, 2018 at 5:20PM",Senior Software Developer - Alexandria
Information Technology Services,https://wuzzuf.net/jobs/p/114840-Software-Development-Team-Leader-Trukto-Technologies-Egypt-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=8,Trukto Technologies Egypt,https://wuzzuf.net/jobs/careers/Trukto-Technologies-Egypt-Egypt-27674,"New Cairo ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development,Project/Program Management","Software Development, Software Engineering, Information Technology (IT), Computer Science, Web Development, PHP, Laravel, MVC, OOP, Agile, Git, Software Project Management","Monday, February 19, 2018 at12:04PM",Software Development Team Leader
"Information Technology Services,Internet/E-commerce,Computer Software",https://wuzzuf.net/jobs/p/114443-Software-Developer---Mobile-Developer-WebToolX-Damietta-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=7,WebToolX,https://wuzzuf.net/jobs/careers/WebToolX-Saudi-Arabia-30619,"New Damietta ,Damietta ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Startup, Git, Github, Social Media, WordPress, Magento, E-commerce, Geolocations, Mobile Applications, Web Development, Software Development, HTML, CSS, Front-End, Information Technology (IT), Computer Science, Computer Engineering, Software Engineering, Android, iOS","Sunday, February 18, 2018 at12:51PM",Software Developer / Mobile Developer
"Healthcare and Medical Services,Information Technology Services,Computer Software",https://wuzzuf.net/jobs/p/111203-Senior-Software-Developer-Nebras-Technology-Giza-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=6,Nebras Technology,https://wuzzuf.net/jobs/careers/Nebras-Technology-Egypt-2808,"Dokki ,Giza ,Egypt","Engineering - Telecom/Technology,IT/Software Development","javaScript, TypeScript, Web Development, Computer Science, Software Engineering, Software Development, WebPack, MongoDB, C#, C#.Net, MVC, SQL, HTML5, Microsoft Visual Studio, ASP.NET, .NET Core","Sunday, January 28, 2018 at 5:06PM",Senior Software Developer
Computer Software,https://wuzzuf.net/jobs/p/111861-Android-Software-Developer-Orchtech-Giza-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=5,Orchtech,https://wuzzuf.net/jobs/careers/Orchtech-Egypt-4931,"Dokki ,Giza ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Software Development, Information Technology (IT), XML, HTML, JASON, SDK, HTML5, Software Developer, JSON, Android SDK, JavaScript, Android, Mobile Developer","Thursday, February  1, 2018 at 9:21AM",Android Software Developer
